Austrian_carabiniers 		 romans_senate
Austrian_cuirassiers 		 romans_senate
Austrian_fusiliers 		 romans_senate
Austrian_grenadiers 		 romans_senate
Austrian_grenzers 		 romans_senate
CA_light_cavalry 		 numidia
Hungarian_fusiliers 		 romans_senate
Hungarian_grenadiers 		 romans_senate
Iroqois_warriors 		 slave, britons, greek_cities
Moghul_archers 		 numidia
Moghul_bumi_infantry 		 numidia
Moghul_guard_musketeers 		 numidia
Moghul_musketeers 		 numidia
Omani 		 numidia, slave
Russian_footguard 		 armenia
Russian_fusiliers 		 armenia
Russian_panders 		 armenia
Swabian_circle_fusiliers 		 romans_senate
Wurzburg_fusiliers 		 romans_senate
afghan_cavalry 		 numidia, slave
afghan_infantry 		 numidia
afghan_musketeers 		 numidia, slave
ahadis 		 numidia
albanians 		 carthage
austrian_12pounder 		 romans_senate
austrian_24pounder 		 romans_senate
austrian_3pounder 		 romans_senate
austrian_6pounder 		 romans_senate
austrian_dragoons 		 romans_senate
austrian_howitzer 		 romans_senate
bavarian_cuirassiers 		 romans_julii
bavarian_dragoons 		 romans_julii
bavarian_fusiliers 		 romans_julii, romans_senate
bavarian_grenadiers 		 romans_julii, romans_senate
bavarian_leib 		 romans_julii
british_12pounder 		 britons
british_24pounder 		 britons
british_6pounder 		 britons
british_dragoons 		 britons
british_footguard 		merc
british_fusiliers 		 britons
british_grenadiers 		 britons
british_highlander 		 britons
british_horse 		 britons
british_life_guards 		 britons
british_light_dragoons 		 britons
british_lights 		 britons
british_line 		 britons
british_marines 		 britons
british_militia 		 britons
brunswick_carabiniers 		 dacia
brunswick_dragoons 		 dacia
brunswick_footguard 		merc
brunswick_garde_du_corps 		 dacia
brunswick_grenadiers 		 dacia
brunswick_hussars 		 dacia
brunswick_jaeger 		 dacia
brunswick_line 		 dacia
canadian_militia 		 greek_cities
carbineros_reales 		 seleucid
compagnie_franche_de_la_marine 		 greek_cities
danish_6pounder 		 pontus
danish_cuirassiers 		 pontus
danish_dragoons 		 pontus
danish_footguard 		 pontus
danish_grenadiers 		 pontus
danish_hussars 		 pontus
danish_lifeguard 		merc
danish_line 		 pontus
danish_national_line 		merc
darmstadt_grenadiers 		 slave, romans_senate
darmstadt_guard_dragoon 		 slave
darmstadt_guard_horse 		 slave
darmstadt_leibgrenadiergarde 		 slave
darmstadt_line 		 slave, romans_senate
darmstadt_militia 		 slave
durch_dragoon 		 macedon
durch_horse 		 macedon
durch_horseguard 		 macedon
dutch_12pounder 		 macedon
dutch_footguard 		 macedon
dutch_fusiliers 		 macedon
dutch_grenadiers 		 macedon
dutch_scottish 		 macedon
dutch_swiss_fusiliers 		merc
eic_foot 		merc
finnish_line 		merc
french_12pounder 		 greek_cities
french_24pounder 		 greek_cities
french_4pounder 		 greek_cities
french_8pounder 		 greek_cities
french_CdI_european 		merc
french_chasseurs 		 greek_cities
french_cuirassiers 		 greek_cities
french_dragoons 		 greek_cities
french_fusiliers 		 greek_cities
french_garde_du_corps 		 greek_cities
french_gendarmes 		 greek_cities
french_german_fusiliers 		merc
french_grenadiers 		 greek_cities
french_howitzer 		 greek_cities
french_hussars 		 greek_cities
french_irish_fusiliers 		 greek_cities
french_italian_fusilier 		 greek_cities
french_liegois 		 greek_cities
french_militia 		 greek_cities
french_scottish_fusiliers 		merc
french_staff 		 greek_cities
french_swiss_fusiliers 		merc
garde_francais 		 greek_cities
garde_suisses 		merc
grenadiers_du_france 		 greek_cities
grenadiers_royaux 		 greek_cities
guardias 		 seleucid
hanovarian_dragoons 		 britons
hanovarian_fussgarde 		 britons
hanovarian_garde_du_corps 		 britons
hanovarian_garrison 		 britons
hanovarian_horse 		 britons
hanovarian_hussars 		 britons
hanovarian_jaegers 		 britons
hanovarian_line 		 britons
hanoverian_militia 		 britons
hessen-kassel_cuirassier 		 gauls
hessen-kassel_dragoons 		 gauls
hessen_kassel_garde 		 gauls
hessen_kassel_jaeger 		 gauls
hessen_kassel_line 		 gauls
hessen_kassel_militia 		 gauls
hessian_6pounder 		 gauls
hessian_hussars 		 gauls
horse_guards 		merc
hungarian_hussars 		 romans_senate
libyans 		 carthage
mughal_cavalry 		 numidia
mughal_heavy_cavalry 		 numidia
mughul_field_gun 		 numidia
nagas 		 numidia
naval_bireme 		 roman, greek, carthaginian, eastern, egyptian
naval_boats 		 barbarian
naval_corvus 		 roman, greek, carthaginian, eastern, egyptian
naval_decere 		 roman, greek, carthaginian, eastern, egyptian
naval_large_boats 		 barbarian
naval_pirates 		 slave
naval_quinquireme 		 roman, greek, carthaginian, eastern, egyptian
naval_trireme 		 roman, greek, carthaginian, eastern, egyptian
ottoman_bosnians 		 carthage
ottoman_bostanci 		 carthage
ottoman_deli 		 carthage
ottoman_field_artillery 		 carthage
ottoman_guard_janissaries 		 carthage
ottoman_janissaries 		 carthage
ottoman_kapikulu_sipahi 		 carthage
ottoman_mamluk 		 carthage
ottoman_sipahi 		 carthage
ottoman_syrians 		 carthage
polish_footguard 		 egypt
polish_grenadiers 		 egypt
polish_hussars 		 egypt
polish_janissaries 		 egypt
polish_line 		 egypt
polish_uhlans 		 egypt
portuguese_dragoons 		 thrace
portuguese_fusiliers 		 thrace
portuguese_grenadiers 		 thrace
portuguese_line_cavalry 		 thrace
portuguese_marines 		merc
provincial_line 		 britons
prussian_12pounder 		 germans
prussian_24pounder 		 germans
prussian_6pounder 		 germans
prussian_cuirassiers 		 germans
prussian_dragoons 		 germans
prussian_feldjaeger 		 germans
