;trade value of zero indicates it cannot be traded

mine				data/models_strat/resource_mine.CAS


type				gold
trade_value			12
item				data/models_strat/resource_gold.CAS
icon				data/ui/resources/resource_gold.tga

type				silver
trade_value			10
item				data/models_strat/resource_silver.CAS
icon				data/ui/resources/resource_silver.tga

type				pottery
trade_value			5
item				data/models_strat/resource_pottery.CAS
icon				data/ui/resources/resource_pottery.tga

type				furs
trade_value			6
item				SYW/data/models_strat/resource_wax.CAS
icon				SYW/data/ui/resources/resource_wax.tga

type				grain
trade_value			7
item				data/models_strat/resource_grain.CAS
icon				data/ui/resources/resource_grain.tga

type				timber
trade_value			4
item				data/models_strat/resource_timber.CAS
icon				data/ui/resources/resource_timber.tga

type				iron
trade_value			8
item				data/models_strat/resource_iron.CAS
icon				data/ui/resources/resource_iron.tga

type				olive_oil
trade_value			5
item				data/models_strat/resource_olive_oil.CAS
icon				data/ui/resources/resource_olive_oil.tga

type				wine
trade_value			6
item				data/models_strat/resource_wine.CAS
icon				data/ui/resources/resource_wine.tga

type				slaves
trade_value			6
item				data/models_strat/resource_slaves.CAS
icon				data/ui/resources/resource_slaves.tga

type				glass
trade_value			7
item				data/models_strat/resource_glass.CAS
icon				data/ui/resources/resource_glass.tga

type				marble
trade_value			12
item				SYW/data/models_strat/resource_gems3.cas
icon				SYW/data/ui/resources/resource_marble.tga

type				textiles
trade_value			5
item				data/models_strat/resource_textiles.CAS
icon				data/ui/resources/resource_textiles.tga

type				purple_dye
trade_value			4
item				data/models_strat/resource_purple_dye.CAS
icon				data/ui/resources/resource_purple_dye.tga

type				incense
trade_value			9
item				SYW/data/models_strat/resource_wine.CAS
icon				SYW/data/ui/resources/resource_incense.tga

type				silk
trade_value			8
item				data/models_strat/resource_silk.CAS
icon				data/ui/resources/resource_silk.tga

type				wild_animals
trade_value			3
item				SYW/data/models_strat/resource_fish.CAS
icon				SYW/data/ui/resources/resource_fish.tga

type				hides
trade_value			6
item				data/models_strat/resource_hides.CAS
icon				data/ui/resources/resource_hides.tga

type				tin
trade_value			7
item				data/models_strat/resource_slaves.CAS
icon				data/ui/resources/resource_slaves.tga

type				copper
trade_value			6
item				data/models_strat/resource_copper.CAS
icon				data/ui/resources/resource_copper.tga

type				lead
trade_value			5
item				data/models_strat/resource_lead.CAS
icon				data/ui/resources/resource_lead.tga

type				amber
trade_value			9
item				data/models_strat/resource_amber.CAS
icon				data/ui/resources/resource_amber.tga

type				elephants
trade_value			10
item				SYW/data/models_strat/resource_elephants.CAS
icon				SYW/data/ui/resources/resource_ivory.tga

type				camels
trade_value			5
item				SYW/data/models_strat/resource_sheep.cas
icon				SYW/data/ui/resources/resource_wool.tga

type				pigs
trade_value			7
item				SYW/data/models_strat/resource_horses.CAS
icon				SYW/data/ui/resources/resource_horses.tga

type				dogs
trade_value			10
item				SYW/data/models_strat/resource_salt.CAS
icon				SYW/data/ui/resources/resource_salt.tga
